ADEP,ADES,ICAO Route,Synthesized Route,Hausdorff Distance
AKL,SIN,VELMO DCT 38S163E/N0492F340 DCT 37S160E DCT NONID Q226 WLM DCT OBKOB DCT CMU DCT 26S144E/N0495F380 DCT 25S143E DCT VALDZ DCT 22S140E DCT TEXAN DCT 1700S13500E DCT BEBUX DCT AGUST/N0483F400 LARAB DCT ISMUD DCT MUBRA DCT LUSIA DCT MKS DCT ISRUL DCT SPT DCT 0151S11116E DCT LAWIB DCT KADAR M774 OBDOS 0041N10616E GUNUD 0059N10458E 0100N10437E 0125N10425E BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
AKL,SIN,MADEP DCT SARAP/N0492F340 DCT SCOTT J208 POODL DCT LEVPU DCT 25S150E/N0495F380 DCT GOBAR DCT TOGEN/N0484F400 DCT KADMU DCT 17S140E DCT DUMAV DCT MASRA DCT OCTOB DCT ELBIS DCT OSAXO DCT LUSIA W37 MKS DCT ISRUL DCT BIGUB DCT ENPIN DCT 0127S11134E DCT TEPEV DCT BAVUS L504 OBDOS T22 UGEBO UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1964.0945550079464
AKL,SIN,MADEP DCT 35S168E/M084F340 DCT RIGMI/N0494F340 DCT 31S160E DCT NETTY DCT SCOTT J208 POODL DCT ATVIL DCT OVENS DCT NOKAV/N0493F380 DCT SIMAS DCT 18S140E/N0485F400 DCT SURVO DCT SUNIX DCT SOCAR DCT WOOFA DCT OCTOB DCT ELBIS DCT OSAXO DCT LUSIA DCT LEDIR DCT MKS DCT ISRUL DCT SPT DCT 0151S11116E DCT LAWIB M774 OBDOS T22 UGEBO UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2507.8968212434515
AKL,SIN,UPLAR DCT TEKEP/N0496F360 DCT 27S160E DCT 22S155E/N0494F380 DCT 18S150E DCT MEMIG DCT RILNA DCT BEGMI/N0483F400 DCT JOLIA DCT LALOV DCT TARIV DCT NEIRA DCT PMA DCT TALIA DCT PSJ DCT IKEMU DCT ELANG W36 OSRUT DCT 0032S11216E DCT BAVUS L504 OBDOS T22 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,MADEP DCT 35S164E DCT VEPAS/N0493F360 DCT 33S160E DCT BILBY W812 CFS/N0488F380 DCT MASMI DCT OTLAM DCT BEETI DCT EXXON DCT 23S140E DCT BIKER DCT RUKSI DCT MONIC DCT PUGUB/N0486F400 DCT SATNA DCT OLRET DCT RUTEN DCT SULAR DCT BIKOD DCT DOSDO DCT TANUR DCT KADAR M774 OBDOS T22 UGEBO KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1672.1806884843
AKL,SIN,MADEP DCT 34S163E/N0498F340 DCT 33S160E DCT BILBY W812 CFS DCT OTLAM/N0494F380 DCT ISBAD DCT DAPPA DCT 2400S13800E DCT 2332S13710E DCT ANZAC DCT DIGLA DCT SUNIL/N0484F400 DCT GUNAM G326 ONOXA DCT GABIT DCT SOVKA DCT KOLTA DCT SUMDI M635 TAVIP DCT MASRI DCT SURGA T23 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,853.9071864261359
AKL,SIN,PEBLU DCT 36S163E/N0494F360 DCT 35S158E DCT NELSN W149 WLM DCT UPVEN DCT 3022S14731E DCT OLVOR DCT 2900S14519E DCT KIDEX DCT 27S142E DCT 2500S13900E/N0487F400 DCT 2400S13800E DCT GAFER DCT 2128S13542E DCT RARTI DCT ITSMA DCT PUGUB DCT IRPOM DCT SATNA DCT BELOR DCT SULAR DCT BIKOD DCT KEVOK DCT DOSDO DCT SUGIK DCT UNTEP M774 OBDOS T22 UGEBO KEXAS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,738.5779078126842
AKL,SIN,MADEP DCT 34S163E/N0491F360 DCT 33S160E DCT BILBY W812 CFS DCT OVNOM DCT BAZZA DCT 28S145E DCT 27S142E DCT BDV W344 ASUBO DCT PULOL DCT BERBU/N0492F400 DCT GEKKO DCT 1900S12900E DCT JATAR A587 ONOXA DCT GABIT DCT AGUNG DCT RITBO DCT SUMDI M635 SURGA T23 UGEBO KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,710.9701289963632
AKL,SIN,UPLAR RIGMI/N0489F320 DCT LAMSI DCT GOMOL W196 DULIN W270 OK W369 ROM DCT LIDBU/N0489F360 DCT DODRO G326 ONOXA DCT GABIT DCT SOVKA/N0482F380 DCT RITBO DCT TAVIP M635 RAFIS DCT SURGA T23 UGEBO KEXAS LAVAX 0114N10421E BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,VELMO DCT 38S163E/N0484F320 DCT VELKU DCT CAWLY M636 TESAT APOMA DCT 2748S14112E DCT 26S140E DCT 2428S13735E DCT MUDOX DCT KIKAN DCT MASER/N0488F360 DCT HOO DCT ARG DCT OLMAR DCT 1201S12054E DCT ONOXA DCT GABIT DCT RAMBA DCT SOVKA DCT RITBO DCT SUMDI M635 TAVIP DCT LAKUN M635 SURGA T23 UGEBO KEXAS 0110N10443E BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
