origin,destination,min_dist_origin,min_dist_dest,route_distances,total_distances,Aircraft Cruise Speed (MPH),Time (H),hausdorff,sector_with_count_waypoint,sector_unique,route
AKL,KUL,1.2173113255902677,2.4252465918875536,5497.054334091277,5500.696892008755,567.0,9.701405453278227,31.103461186807596,NZ2-YB15-WA7-WI4-WS2-WI1-WS1-WM10,NZ-YB-WA-WI-WS-WI-WS-WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,PVG,1.2173113255902677,2.3357370995589473,7783.22590069951,7786.778949124659,630.0,12.359966585912158,0.0,NZ2-YB16-WA4-WB3-WS3-VV27-ZG12-ZS13,NZ-YB-WA-WB-WS-VV-ZG-ZS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,PVG,1.2173113255902677,2.3357370995589473,7789.140197573854,7792.693245999003,630.0,12.369354358728577,20.782795199532238,NZ2-YB16-WA4-WB3-WS3-VV27-ZG12-ZS13,NZ-YB-WA-WB-WS-VV-ZG-ZS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,PVG,1.2173113255902677,2.3357370995589473,7805.116409370739,7808.669457795889,630.0,12.394713425072839,20.782795199532238,NZ2-YB16-WA4-WB3-WS3-VV29-ZG12-ZS13,NZ-YB-WA-WB-WS-VV-ZG-ZS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,PVG,1.2173113255902677,2.3357370995589473,7806.1604418080715,7809.713490233221,630.0,12.39637061941781,23.140710286737217,NZ2-YB16-WA4-WB3-WS3-VV27-ZG12-ZS13,NZ-YB-WA-WB-WS-VV-ZG-ZS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,PVG,1.2173113255902677,2.3357370995589473,7812.074738682415,7815.6277871075645,630.0,12.40575839223423,23.140710286737217,NZ2-YB16-WA4-WB3-WS3-VV27-ZG12-ZS13,NZ-YB-WA-WB-WS-VV-ZG-ZS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SIN,1.2173113255902677,4.909111240710773,5283.079555082996,5289.205977649297,630.0,8.395565043887773,0.0,NZ2-YB15-WA7-WI4-WS2-WI1-WS1,NZ-YB-WA-WI-WS-WI-WS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SIN,1.2173113255902677,4.909111240710773,5370.789173089071,5376.915595655371,630.0,8.53478665977043,107.36660016013421,NZ2-YB15-WA7-WI6-WS1-WI1-WS1,NZ-YB-WA-WI-WS-WI-WS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SIN,1.2173113255902677,4.909111240710773,5371.340911530921,5377.467334097222,630.0,8.535662435074956,124.51493363540463,NZ2-YB15-WA6-WI6-WS1-WI1-WS1,NZ-YB-WA-WI-WS-WI-WS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SIN,1.2173113255902677,4.909111240710773,5430.462854116559,5436.58927668286,630.0,8.629506788385493,305.05616173014283,NZ2-YB15-WA8-WI6-WS1-WI1-WS1,NZ-YB-WA-WI-WS-WI-WS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SIN,1.2173113255902677,4.909111240710773,5438.212935060441,5444.339357626743,630.0,8.641808504169433,68.02449303467108,NZ2-YB15-WA7-WI4-WS2-WI1-WS3-WM3-WS2,NZ-YB-WA-WI-WS-WI-WS-WM-WS,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SZX,1.2173113255902677,32.20054878537507,5869.443295947278,5902.861156058243,0.0,inf,0.0,NZ2-YB12-WA3-RP14-VH2,NZ-YB-WA-RP-VH,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SZX,1.2173113255902677,32.20054878537507,5883.172524641596,5916.5903847525615,0.0,inf,65.86483821066008,NZ2-YB12-WA3-RP19-VH2,NZ-YB-WA-RP-VH,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SZX,1.2173113255902677,32.20054878537507,5889.197658316058,5922.615518427023,0.0,inf,65.86483821066008,NZ2-YB12-WA3-RP20-VH2,NZ-YB-WA-RP-VH,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SZX,1.2173113255902677,32.20054878537507,5909.243845060435,5942.661705171401,0.0,inf,68.8564297006537,NZ2-YB12-WA3-RP16-VH2,NZ-YB-WA-RP-VH,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AKL,SZX,1.2173113255902677,32.20054878537507,5915.246659817326,5948.664519928291,0.0,inf,68.8564297006537,NZ2-YB12-WA3-RP20-VH2,NZ-YB-WA-RP-VH,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,CGK,9.390687088188686,9.670801042913984,1505.1295536525581,1524.191041783661,586.0,2.6010086037263838,0.0,WA8-WI5,WA-WI,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,CGK,9.390687088188686,9.670801042913984,1518.5420617231812,1537.6035498542838,586.0,2.6238968427547507,97.92173239524492,WA10-WI6,WA-WI,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,CGK,9.390687088188686,9.670801042913984,1520.1790151776333,1539.2405033087362,586.0,2.62669027868385,158.48478473373223,WA7-WI5,WA-WI,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,CGK,9.390687088188686,9.670801042913984,1524.2689791651117,1543.3304672962145,586.0,2.6336697394133353,97.92173239524492,WA11-WI5,WA-WI,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,CGK,9.390687088188686,9.670801042913984,1526.9554439439548,1546.0169320750574,586.0,2.638254150298733,97.92173239524492,WA11-WI6,WA-WI,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,NRE,9.390687088188686,0.17381254971057536,103.59854557043079,113.16304520833003,310.0,0.3650420813171937,0.0,WA2,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,NRE,9.390687088188686,12.680616361378535,1099.7297060720837,1121.801009521651,310.0,3.6187129339408095,501.0700768358118,WA9,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,NRE,9.390687088188686,12.680616361378535,1114.7791675971584,1136.8504710467257,310.0,3.667259584021696,501.0700768358118,WA8,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,NRE,9.390687088188686,20.59860043375228,124.13800291839235,154.12729044033333,310.0,0.497184807872043,20.739518148565526,WA2,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SOQ,9.390687088188686,0.24603948229602526,1112.6052144776575,1122.2419410481423,0.0,inf,0.0,WA7,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SOQ,9.390687088188686,0.24603948229602526,1465.2192212473226,1474.8559478178076,0.0,inf,604.66404320537,WA12,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SOQ,9.390687088188686,0.24603948229602526,1480.2686827723983,1489.9054093428829,0.0,inf,604.66404320537,WA11,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SOQ,9.390687088188686,0.24603948229602526,1551.1997922890512,1560.8365188595358,0.0,inf,604.66404320537,WA12,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SOQ,9.390687088188686,0.24603948229602526,1566.2492538141262,1575.8859803846108,0.0,inf,604.66404320537,WA11,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SUB,9.390687088188686,1.1554076776822833,1164.341436063422,1174.8875308292927,0.0,inf,0.0,WA9,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SUB,9.390687088188686,1.1554076776822833,1200.7124888003443,1211.258583566215,0.0,inf,134.7127388327665,WA9,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SUB,9.390687088188686,1.1554076776822833,1215.761950325419,1226.3080450912903,0.0,inf,175.7075081123608,WA8,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SUB,9.390687088188686,1.1554076776822833,1255.1604036490812,1265.7064984149522,0.0,inf,193.1968252968125,WA11,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SUB,9.390687088188686,1.1554076776822833,1270.2098651741562,1280.7559599400272,0.0,inf,193.1968252968125,WA10,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,SXK,9.390687088188686,9.422574533435686,365.6371669831568,384.45042860478117,0.0,inf,0.0,WA3,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,UPG,9.390687088188686,2.5275455685281774,604.6875218328887,616.6057544896056,586.0,1.0522282499822622,0.0,WA5,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,UPG,9.390687088188686,2.5275455685281774,619.7369833579637,631.6552160146806,586.0,1.077909924939728,158.48478473373223,WA4,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,UPG,9.390687088188686,2.5275455685281774,1251.0852543088856,1263.0034869656024,586.0,2.155296052842325,342.4263016881915,WA6,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,UPG,9.390687088188686,2.5275455685281774,1356.5738556716376,1368.4920883283546,586.0,2.335310730935759,394.1242331734508,WA10,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AMQ,UPG,9.390687088188686,2.5275455685281774,1655.5807725614302,1667.499005218147,586.0,2.8455614423517868,491.2278386651513,WA14,WA,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,CTS,0.8018756451917092,6.076348221674466,144.63173805296017,151.50996191982634,540.0,0.280574003555234,0.0,RJ8,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,CTS,0.8018756451917092,6.076348221674466,289.60353181798587,296.4817556848521,540.0,0.5490402883052816,72.15314131442028,RJ13,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,CTS,0.8018756451917092,6.076348221674466,469.4543441459484,476.33256801281453,540.0,0.8820973481718788,163.43173844269958,RJ18,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,CTS,12.048225570869839,6.076348221674466,133.12388909127708,151.24846288382145,540.0,0.28008974608115084,11.50784896168306,RJ7,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,CTS,12.048225570869839,6.076348221674466,362.26636540730414,380.3909391998484,540.0,0.7044276651849044,72.15314131442028,RJ15,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,HND,0.8018756451917092,31.78656978960138,642.882205343962,675.4706507787552,586.0,1.1526802914313228,0.0,RJ16,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,HND,0.8018756451917092,31.78656978960138,645.0190693226106,677.6075147574038,586.0,1.1563268169921566,36.16258591326803,RJ17,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,HND,0.8018756451917092,31.78656978960138,787.8539991089876,820.4424445437808,586.0,1.4000724309620831,45.98045962864453,RJ21,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,HND,0.8018756451917092,31.78656978960138,789.9908630876362,822.5793085224294,586.0,1.4037189565229171,45.98045962864453,RJ22,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,HND,0.8018756451917092,31.78656978960138,967.7048114369502,1000.2932568717433,586.0,1.70698507998591,79.82093159876402,RJ26,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
